match_id,home_tag,away_tag,home_team,away_team,home_team_position,away_team_position,home_team_score,away_team_score,season,competition,event,date,time,referee,away_ht_team_score,home_ht_team_score,home_formation,away_formation,home_manager,away_manager,attendance,home_team_PV,away_team_PV,home_team_MV,away_team_MV
3919593,grazer-ak-1902,sk-sturm-graz,Grazer AK 1902,SK Sturm Graz,nil,nil,-,-,2022,ÖFB-Cup,Round of 16,"Wed, 10/19/22",6:00 PM,nil,nil,nil,nil,nil,nil,nil,Referee:,,,,
3851154,kas-eupen,kaa-gent,KAS Eupen,KAA Gent,16,8,0,4,2022,Jupiler Pro League,11. Matchday,"Sun, 10/9/22",4:00 PM,Brent Staessens,0,2,# 5-4-1,# 3-4-1-2,Bernd Storck,Hein Vanhaezebrouck,2044,€2.85m,€19.35m,€9.90m,€32.10m
3851148,royal-antwerpen-fc,vv-st-truiden,Royal Antwerp FC,Sint-Truidense VV,1,11,2,0,2022,Jupiler Pro League,11. Matchday,"Fri, 10/7/22",8:45 PM,Nicolas Laforge,1,0,# 4-2-3-1,# 5-3-2,Mark van Bommel,Bernd Hollerbach,15050,€24.29m,€900Th,€46.15m,€11.00m
3852578,sc-heerenveen,psv-eindhoven,SC Heerenveen,PSV Eindhoven,8,3,0,1,2022,Eredivisie,9. Matchday,"Sun, 10/9/22",4:45 PM,Bas Nijhuis,0,0,nil,nil,nil,nil,Referee:,€6.35m,€23.20m,€16.85m,€128.50m
3860253,antalyaspor,konyaspor,Antalyaspor,Konyaspor,15,3,1,1,2022,Süper Lig,9. Matchday,"Sat, 10/8/22",4:00 PM,Mert Güzenge,0,0,# 4-4-2 double 6,# 4-1-4-1,Nuri Sahin,Ilhan Palut,Referee:,€2.35m,€1.30m,€19.05m,€27.23m
3860258,istanbulspor,mke-ankaragucu,Istanbulspor,MKE Ankaragücü,13,14,1,2,2022,Süper Lig,9. Matchday,"Sat, 10/8/22",1:30 PM,Yasin Kol,0,1,# 3-4-3,# 4-2-3-1,Osman Zeki Korkmaz,Ömer Erdogan,Referee:,,€500Th,€6.35m,€16.03m
3869101,casa-pia-ac,fc-vizela,Casa Pia AC,FC Vizela,4,11,0,1,2022,Liga Portugal,9. Matchday,"Sun, 10/9/22",7:00 PM,João Pinheiro,0,0,# 3-4-3,# 4-3-3 Attacking,Filipe Martins,Álvaro Pacheco,Referee:,,,€7.78m,€6.38m
3869104,boavista-porto-fc,cs-maritimo,Boavista FC,CS Marítimo,6,18,1,1,2022,Liga Portugal,9. Matchday,"Sun, 10/9/22",4:30 PM,Luís Godinho,1,0,# 3-4-3,# 3-4-3,Petit,João Henriques,Referee:,€2.00m,,€8.65m,€8.05m
3840054,olympique-lyon,fc-toulouse,Olympique Lyon,FC Toulouse,9,11,1,1,2022,Ligue 1,10. Matchday,"Fri, 10/7/22",9:00 PM,Ruddy Buquet,1,0,# 4-2-3-1,# 4-3-3 Attacking,Peter Bosz,Philippe Montanier,41295,€41.95m,€7.89m,€164.00m,€31.15m
3840051,losc-lille,rc-lens,LOSC Lille,RC Lens,7,4,1,0,2022,Ligue 1,10. Matchday,"Sun, 10/9/22",8:45 PM,François Letexier,1,0,# 4-2-3-1,# 3-4-2-1,Paulo Fonseca,Franck Haise,48527,€44.00m,€42.20m,€128.80m,€97.70m
3825608,blau-weiss-lohne,fc-augsburg,Blau-Weiß Lohne,FC Augsburg,nil,nil,0,4,2022,DFB-Pokal,First Round,"Sun, 7/31/22",3:31 PM,Sven Waschitzki-Günther,0,0,# 4-4-2,# 3-5-2 flat,Henning Rießelmann,Enrico Maaßen,4150,,€30.20m,€285Th,€43.30m
3890701,udinese-calcio,feralpisalo,Udinese Calcio,Feralpisalò,nil,nil,2,1,2022,Italy Cup,First Round,"Fri, 8/5/22",6:00 PM,Francesco Cosso,1,0,# 3-5-2 flat,# 4-4-2 Diamond,Andrea Sottil,Stefano Vecchi,2962,€39.80m,€200Th,€59.00m,€2.50m
3890898,hellas-verona,ssc-bari,Hellas Verona,SSC Bari,nil,nil,1,4,2022,Italy Cup,First Round,"Sun, 8/7/22",6:00 PM,Niccolò Baroni,1,2,# 3-5-2 flat,# 4-3-1-2,Gabriele Cioffi,Michele Mignani,6576,€36.80m,€380Th,€63.50m,€5.35m
3886291,rayo-vallecano,fc-elche,Rayo Vallecano,Elche CF,10,20,2,1,2022,LaLiga,7. Matchday,"Mon, 10/3/22",9:00 PM,Jorge Figueroa Vázquez,1,1,# 4-2-3-1,# 5-3-2,Andoni Iraola,Francisco Rodríguez,11662,€8.00m,€11.00m,€44.50m,€40.90m
3903136,grimsby-town,nottingham-forest,Grimsby Town,Nottingham Forest,nil,nil,0,3,2022,EFL Cup,Second Round,"Tue, 8/23/22",8:45 PM,Seb Stockbridge,0,2,# 4-2-3-1,# 3-4-1-2,Paul Hurst,Steve Cooper,8418,,€40.65m,€575Th,€52.30m
3825609,sv-straelen,fc-st-pauli,SV Straelen,FC St. Pauli,nil,nil,3,4,2022,DFB-Pokal,First Round,"Sat, 7/30/22",1:01 PM,Tom Bauer,2,2,# 4-2-3-1,# 4-3-1-2,Sunday Oliseh,Timo Schultz,5874,,€2.90m,€800Th,€13.90m
3825589,1-fc-kaan-marienborn,1-fc-nurnberg,1.FC Kaan-Marienborn,1.FC Nuremberg,nil,nil,0,2,2022,DFB-Pokal,First Round,"Fri, 7/29/22",6:01 PM,Dr. Robert Kampka,0,1,# 4-2-3-1,# 4-4-2 Diamond,Thorsten Nehrbauer,Robert Klauß,8000,,€3.20m,€375Th,€9.70m
3825617,1-fc-magdeburg,eintracht-frankfurt,1.FC Magdeburg,Eintracht Frankfurt,nil,nil,0,4,2022,DFB-Pokal,First Round,"Mon, 8/1/22",8:46 PM,Felix Zwayer,0,2,# 4-3-3 Attacking,# 3-4-2-1,Christian Titz,Oliver Glasner,26350,,€39.95m,€4.83m,€180.50m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
3839210,sv-sandhausen,1-fc-magdeburg,SV Sandhausen,1.FC Magdeburg,11,15,1,0,2022,2. Bundesliga,11. Matchday,"Sun, 10/9/22",1:30 PM,Florian Exner,0,0,# 4-4-2 double 6,# 4-3-3 Attacking,Alois Schwartz,Christian Titz,5211,,,€6.55m,€6.18m
